fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails.currentIcuCovid,metrics.icuHeadroomDetails.currentIcuCovidMethod,metrics.icuHeadroomDetails.currentIcuNonCovid,metrics.icuHeadroomDetails.currentIcuNonCovidMethod,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,riskLevels.icuHeadroomRatio,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered
13,USA,GA,,state,,iso1:us#iso2:us-ga,,10617423,0.05248026934260292,other,14.147904412802026,0.20903471231573942,0.95189071514,0.09999999999999987,0.3852013057671382,354,actual,1918,actual,0.800845964046528,2,1,2,1,1,0,2,1030899,18349,788073,6606616,1570,29899,17792,1339,0.68,2837,2272,354,0.815056720523,902,5385975,2401381,1267677,2021-03-29,https://covidactnow.org/us/georgia-ga,0.22617362047268907,0.11939592121365043,0,3711950
15,USA,HI,,state,,iso1:us#iso2:us-hi,,1415872,0.01799046038987972,other,7.002247176500216,0.6051873198847263,1.17692897688,0.15788872669999998,0.06521739130434782,6,actual,134,actual,0.6194690265486725,2,0,1,1,2,0,0,29528,459,34246,1170047,300,3064,1853,43,0.66,226,140,6,0.69,102,890600,422366,251645,2021-03-29,https://covidactnow.org/us/hawaii-hi,0.29830803914478143,0.1777314616010487,0,662115
19,USA,IA,,state,,iso1:us#iso2:us-ia,,3155070,0.06473804508582441,other,17.789960738928592,0.14359888012216848,1.0551206973799998,0.10000000000000009,0.15770609318996415,44,actual,401,actual,0.6544117647058824,2,1,2,1,1,0,0,349714,5725,347376,2791406,403,13582,4975,211,0.5,680,445,44,0.56,160,1696035,942877,585741,2021-03-29,https://covidactnow.org/us/iowa-ia,0.2988450335491764,0.18565071456417764,7,1488820
16,USA,ID,,state,,iso1:us#iso2:us-id,,1787065,0.05032973071991207,other,16.067846281072995,0.17412935323383083,0.997971993742,0.09999999999799991,0.2692307692307692,42,actual,151,actual,0.6286644951140065,2,1,2,1,1,0,0,179511,1957,217147,1148880,250,3796,2188,169,0.54,307,193,42,0.53,198,910095,448334,282222,2021-03-29,https://covidactnow.org/us/idaho-id,0.25087727642810975,0.15792486563163624,0,728042
17,USA,IL,,state,,iso1:us#iso2:us-il,,12671821,0.031594195926243684,other,17.98253215314741,0.3335214093160303,1.11683699904,0.10000000000000009,0.1388888888888889,215,actual,1915,actual,0.6150736355760901,2,1,2,1,2,0,0,1241187,23521,1221845,14965430,3800,38143,21531,1386,0.58,3463,2130,215,0.615201900238,2175,6883535,3763201,1996988,2021-03-29,https://covidactnow.org/us/illinois-il,0.2969739708286599,0.15759281953240975,23,5682011
18,USA,IN,,state,,iso1:us#iso2:us-in,,6732219,0.03677901565364546,other,12.978102550054976,0.36625245258338784,1.0504521711700001,0.10000000000000009,0.1338862559241706,113,actual,1385,actual,0.6720502467474204,2,1,2,1,1,0,0,686908,13023,776677,6784218,1600,18472,12166,657,0.57,2229,1498,113,0.653419593346,944,3328110,1651837,1082231,2021-03-29,https://covidactnow.org/us/indiana-in,0.24536293308343063,0.1607539802255393,12,2700392
20,USA,KS,,state,,iso1:us#iso2:us-ks,,2913314,0.032622207290441796,other,7.291646950125232,0.3379959650302623,0.956144197158,0.10000000000200004,0.13861386138613863,42,actual,540,actual,0.6903914590747331,1,1,1,1,1,0,0,303710,4891,282675,2431957,359,12492,5152,170,0.51,843,582,42,0.633136094675,443,1643765,846744,471050,2021-03-29,https://covidactnow.org/us/kansas-ks,0.290646322366899,0.1616887160120742,0,1249912
21,USA,KY,,state,,iso1:us#iso2:us-ky,,4467673,0.035946046485994955,other,13.26033869149715,0.4186158668917289,0.8912286973970001,0.09999999999999998,0.11017964071856287,92,actual,998,actual,0.5946535733769777,2,1,2,1,0,0,0,427919,6062,463502,3329359,1240,19775,8695,432,0.59,1833,1090,92,0.66,312,2371375,1347152,731464,2021-03-29,https://covidactnow.org/us/kentucky-ky,0.3015332590366394,0.16372371030735688,9,2019234
22,USA,LA,,state,,iso1:us#iso2:us-la,,4648794,0.03209365803727556,other,10.239214729669673,0.33613445378151263,0.9656958615160001,0.100000000004,0.16298342541436464,118,actual,1098,actual,0.6673984632272228,2,1,2,1,1,0,0,443069,10087,502061,5443452,800,20906,9368,354,0.55,1822,1216,118,0.668632075472,449,2550580,1177111,719571,2021-03-29,https://covidactnow.org/us/louisiana-la,0.25320782121126467,0.15478659626561211,0,1882190
25,USA,MA,,state,,iso1:us#iso2:us-ma,,6892503,0.02330615484522693,other,30.805727821746526,0.2213550427235417,1.11754803707,0.10000000000000009,0.28,140,actual,922,actual,0.7468354430379747,3,0,3,1,2,0,1,629531,17115,703164,17472190,2350,24379,15937,689,0.72,1422,1062,140,0.5,1975,3848770,2251089,1227553,2021-03-29,https://covidactnow.org/us/massachusetts-ma,0.3265996402177844,0.17809974112452326,29,3424253
